file,language,proof_count
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,25
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,23
02_FORMAL/coq/Industries/IndustryEducation.v,coq,25
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,23
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,30
02_FORMAL/coq/Industries/IndustryGovernment.v,coq,23
02_FORMAL/coq/Industries/IndustryHealthcare.v,coq,29
02_FORMAL/coq/Industries/IndustryLegal.v,coq,28
02_FORMAL/coq/Industries/IndustryManufacturing.v,coq,24
02_FORMAL/coq/Industries/IndustryMedia.v,coq,23
02_FORMAL/coq/Industries/IndustryMilitary.v,coq,27
02_FORMAL/coq/Industries/IndustryRealEstate.v,coq,26
02_FORMAL/coq/Industries/IndustryRetail.v,coq,23
02_FORMAL/coq/Industries/IndustryTelecom.v,coq,24
02_FORMAL/coq/Industries/IndustryTransportation.v,coq,22
02_FORMAL/coq/compliance/DO178CCompliance.v,coq,21
02_FORMAL/coq/compliance/HIPAACompliance.v,coq,15
02_FORMAL/coq/compliance/PCIDSSCompliance.v,coq,37
02_FORMAL/coq/compliance/VerifiedCompliance.v,coq,35
02_FORMAL/coq/domains/AIMLSecurity.v,coq,42
02_FORMAL/coq/domains/ASEANCompliance.v,coq,29
02_FORMAL/coq/domains/AlgebraicEffects.v,coq,22
02_FORMAL/coq/domains/AnonymousComm.v,coq,25
02_FORMAL/coq/domains/AntiJamming.v,coq,25
02_FORMAL/coq/domains/AuthenticationProtocols.v,coq,102
02_FORMAL/coq/domains/AuthenticationSecurity.v,coq,20
02_FORMAL/coq/domains/BackendComposition.v,coq,21
02_FORMAL/coq/domains/BackendTraitVerification.v,coq,21
02_FORMAL/coq/domains/BinarySizeBounds.v,coq,20
02_FORMAL/coq/domains/BufferOverflowPrevention.v,coq,22
02_FORMAL/coq/domains/CSRFProtection.v,coq,36
02_FORMAL/coq/domains/CapabilitySecurity.v,coq,108
02_FORMAL/coq/domains/CapitalMarkets.v,coq,26
02_FORMAL/coq/domains/CertificationEvidence.v,coq,24
02_FORMAL/coq/domains/CommonCriteriaEAL7.v,coq,52
02_FORMAL/coq/domains/CompilerCorrectness.v,coq,86
02_FORMAL/coq/domains/ConstantTimeCrypto.v,coq,26
02_FORMAL/coq/domains/ContainerSecurity.v,coq,106
02_FORMAL/coq/domains/ControlFlowIntegrity.v,coq,21
02_FORMAL/coq/domains/CoreBanking.v,coq,31
02_FORMAL/coq/domains/CovertChannelElimination.v,coq,23
02_FORMAL/coq/domains/CovertChannels.v,coq,26
02_FORMAL/coq/domains/CrossBorderRemittance.v,coq,25
02_FORMAL/coq/domains/CrossLayerSecurity.v,coq,21
02_FORMAL/coq/domains/CryptographicSecurity.v,coq,76
02_FORMAL/coq/domains/DELTA001_VerifiedDistribution.v,coq,32
02_FORMAL/coq/domains/DO178CCompliance.v,coq,41
02_FORMAL/coq/domains/DataRaceFreedom.v,coq,35
02_FORMAL/coq/domains/DependentTypes.v,coq,33
02_FORMAL/coq/domains/DigitalWallet.v,coq,25
02_FORMAL/coq/domains/DistributedConsensus.v,coq,24
02_FORMAL/coq/domains/DistributedSecurity.v,coq,47
02_FORMAL/coq/domains/DualModeVerification.v,coq,22
02_FORMAL/coq/domains/ESGCompliance.v,coq,35
02_FORMAL/coq/domains/EnterpriseERP.v,coq,25
02_FORMAL/coq/domains/FFIAttackResearch.v,coq,20
02_FORMAL/coq/domains/FHESecurity.v,coq,94
02_FORMAL/coq/domains/FormalVerification.v,coq,36
02_FORMAL/coq/domains/FullstackSecurity.v,coq,25
02_FORMAL/coq/domains/FutureSecurity.v,coq,24
02_FORMAL/coq/domains/HIPAACompliance.v,coq,21
02_FORMAL/coq/domains/HardwareSecurity.v,coq,34
02_FORMAL/coq/domains/HealthcareIS.v,coq,30
02_FORMAL/coq/domains/HumanFactorSecurity.v,coq,54
02_FORMAL/coq/domains/HypervisorSecurity.v,coq,89
02_FORMAL/coq/domains/ISO26262Compliance.v,coq,36
02_FORMAL/coq/domains/InjectionPrevention.v,coq,26
02_FORMAL/coq/domains/IrisSeparationLogic.v,coq,21
02_FORMAL/coq/domains/KeyLifecycle.v,coq,25
02_FORMAL/coq/domains/LLMProofPipeline.v,coq,20
02_FORMAL/coq/domains/LinearTypes.v,coq,25
02_FORMAL/coq/domains/MLSafetyTypes.v,coq,24
02_FORMAL/coq/domains/MLTTFoundation.v,coq,25
02_FORMAL/coq/domains/MalaysiaBNMRMiT.v,coq,28
02_FORMAL/coq/domains/MalaysiaBursaGov.v,coq,23
02_FORMAL/coq/domains/MalaysiaCybersecurityAct.v,coq,28
02_FORMAL/coq/domains/MalaysiaDigitalSignature.v,coq,26
02_FORMAL/coq/domains/MalaysiaKKMHealthcare.v,coq,27
02_FORMAL/coq/domains/MalaysiaMAMPU.v,coq,27
02_FORMAL/coq/domains/MalaysiaMCMC.v,coq,20
02_FORMAL/coq/domains/MalaysiaPDPA.v,coq,41
02_FORMAL/coq/domains/MalaysiaSCGTRM.v,coq,24
02_FORMAL/coq/domains/MeltdownDefense.v,coq,30
02_FORMAL/coq/domains/MemorySafety.v,coq,139
02_FORMAL/coq/domains/MeshNetworking.v,coq,28
02_FORMAL/coq/domains/MetadataPrivacy.v,coq,25
02_FORMAL/coq/domains/Metaprogramming.v,coq,27
02_FORMAL/coq/domains/MobileBridgeVerification.v,coq,32
02_FORMAL/coq/domains/MobilePlatform.v,coq,25
02_FORMAL/coq/domains/ModuleSystems.v,coq,26
02_FORMAL/coq/domains/MultiProverValidation.v,coq,24
02_FORMAL/coq/domains/NetworkDefense.v,coq,43
02_FORMAL/coq/domains/NetworkSecurity.v,coq,26
02_FORMAL/coq/domains/OMEGA001_NetworkDefense.v,coq,30
02_FORMAL/coq/domains/OperationalSecurity.v,coq,25
02_FORMAL/coq/domains/OwnershipTypes.v,coq,20
02_FORMAL/coq/domains/PCIDSSCompliance.v,coq,37
02_FORMAL/coq/domains/PI001_VerifiedPerformance.v,coq,34
02_FORMAL/coq/domains/PSI001_OperationalSecurity.v,coq,39
02_FORMAL/coq/domains/PhysicalSecurity.v,coq,21
02_FORMAL/coq/domains/PhysicsSecurity.v,coq,26
02_FORMAL/coq/domains/PlatformStdlibVerification.v,coq,20
02_FORMAL/coq/domains/PostQuantumKEM.v,coq,26
