scope,file,language,line,type,name
active,02_FORMAL/coq/properties/NonInterference_v2.v,coq,1535,Axiom,val_rel_n_step_up
active,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,coq,1149,Axiom,logical_relation_declassify
archive,02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,133,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,134,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,180,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,184,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,284,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,294,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,306,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,307,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,468,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,473,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,478,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,479,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,534,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,540,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,66,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,87,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,109,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,129,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,153,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,176,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,283,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,362,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,414,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,431,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,454,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,469,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,493,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,509,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,526,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,424,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,426,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,465,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,467,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,497,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,498,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,523,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,524,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,542,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,543,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,559,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,560,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,584,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,585,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,589,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,591,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,603,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,604,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,632,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,633,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,664,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,666,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,667,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,686,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,687,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,703,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,704,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,722,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,723,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,739,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,740,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,752,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,753,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,766,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,767,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,791,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,792,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,797,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,799,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,812,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,813,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,832,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,833,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,837,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,839,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,855,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,856,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,868,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,869,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,926,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,1052,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,1071,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,1075,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,1102,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,1116,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/KripkeMutual.v,coq,143,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/KripkeMutual.v,coq,144,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/KripkeMutual.v,coq,167,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/KripkeMutual.v,coq,168,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/KripkeMutual.v,coq,189,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/KripkeMutual.v,coq,190,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/KripkeMutual.v,coq,229,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/KripkeMutual.v,coq,230,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,208,Axiom,T_Loc
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,212,Axiom,T_Assign
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,348,Axiom,val_rel_n_unit
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,353,Axiom,val_rel_n_ref
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,359,Axiom,val_rel_n_ref_same_loc
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,365,Axiom,exp_rel_n_unfold
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,378,Axiom,exp_rel_n_unit
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,382,Axiom,exp_rel_n_base
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,386,Axiom,exp_rel_n_assign
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,392,Axiom,val_rel_n_step_down
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,397,Axiom,exp_rel_n_step_down
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,402,Axiom,store_rel_n_step_down
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,408,Axiom,store_update_preserves_rel
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,431,Axiom,fundamental_theorem
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF_FIXED.v,coq,197,Axiom,T_Loc
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF_FIXED.v,coq,201,Axiom,T_Assign
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF_FIXED.v,coq,530,Axiom,exp_rel_n_unfold
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF_FIXED.v,coq,542,Axiom,exp_rel_n_unit
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF_FIXED.v,coq,545,Axiom,exp_rel_n_base
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF_FIXED.v,coq,548,Axiom,exp_rel_n_assign
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF_FIXED.v,coq,565,Axiom,fundamental_theorem
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,142,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,154,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,163,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,221,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,222,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,402,Axiom,step_deterministic
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,409,Axiom,fundamental_lemma
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,418,Axiom,subst_declassify
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,423,Axiom,lc_declassify
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,429,Axiom,value_is_lc
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,435,Axiom,val_rel_n_monotone
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,442,Axiom,val_rel_n_base
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,449,Axiom,multi_ctx_declassify
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,455,Axiom,ST_Declassify_Ctx
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,461,Axiom,declassify_ctx_preserves_rel
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,115,Axiom,subst_rho_declassify_dist
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,119,Axiom,fundamental_lemma
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,127,Axiom,val_rel_secret_unwrap
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,139,Axiom,exp_rel_n_unfold
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,156,Axiom,declassify_eval
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,162,Axiom,lc_declassify
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,166,Axiom,exp_rel_n_mono
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,172,Axiom,val_rel_n_mono
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,269,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,271,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,275,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,276,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,332,admit tactic,
