file,language,line,proof_name
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,71,do_178c_compliance
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,81,do_326a_security
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,88,do_333_formal_methods
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,95,arp4754a_development
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,102,do_254_hardware
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,110,dal_a_mcdc_required
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,119,dal_objectives_monotone
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,165,dal_le_iff_nat
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,174,dal_le_refl
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,178,dal_le_trans
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,187,dal_le_antisym
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,195,dal_le_total
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,200,dal_e_bottom
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,204,dal_a_max_objectives
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,211,dal_e_zero_objectives
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,215,objectives_strict_ordering
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,230,mcdc_only_high_dal
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,243,decision_coverage_implies_dal_c_or_above
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,255,do178c_all_requires_plans
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,264,do178c_all_requires_verification
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,276,do178c_all_requires_qa
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,293,formal_methods_only_high_dal
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,304,dal_max_dominates_left
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,313,dal_max_dominates_right
02_FORMAL/coq/Industries/IndustryAerospace.v,coq,325,dal_max_objectives
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,56,fsma_compliance
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,64,food_traceability
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,71,precision_ag_security
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,78,iso_22000_compliance
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,85,supply_chain_integrity
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,93,haccp_required
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,102,recall_capability_required
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,150,chemical_usage_highest_sensitivity
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,156,agri_data_sensitivity_positive
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,172,hazard_severity_bounded
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,178,biological_radiological_equal
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,194,higher_severity_more_frequent
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,201,haccp_frequency_positive
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,213,all_controls_implies_haccp
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,222,all_controls_implies_recall
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,230,all_controls_implies_traceability
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,253,farm_area_meets_minimum
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,270,traceability_dates_valid
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,283,agri_effect_eq_refl
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,301,risk_score_positive
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,308,risk_score_bounded
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,324,count_controls_bounded
02_FORMAL/coq/Industries/IndustryAgriculture.v,coq,333,all_controls_count_six
02_FORMAL/coq/Industries/IndustryEducation.v,coq,54,ferpa_compliance
02_FORMAL/coq/Industries/IndustryEducation.v,coq,62,coppa_compliance
02_FORMAL/coq/Industries/IndustryEducation.v,coq,70,cipa_compliance
02_FORMAL/coq/Industries/IndustryEducation.v,coq,77,state_privacy_compliance
02_FORMAL/coq/Industries/IndustryEducation.v,coq,84,vendor_data_practices
02_FORMAL/coq/Industries/IndustryEducation.v,coq,92,education_record_consent
02_FORMAL/coq/Industries/IndustryEducation.v,coq,101,under13_parental_consent
02_FORMAL/coq/Industries/IndustryEducation.v,coq,148,special_ed_highest
02_FORMAL/coq/Industries/IndustryEducation.v,coq,154,health_records_highest
02_FORMAL/coq/Industries/IndustryEducation.v,coq,160,student_data_sensitivity_positive
02_FORMAL/coq/Industries/IndustryEducation.v,coq,174,coppa_only_under13
02_FORMAL/coq/Industries/IndustryEducation.v,coq,180,adult_no_coppa
02_FORMAL/coq/Industries/IndustryEducation.v,coq,186,teen_no_coppa
02_FORMAL/coq/Industries/IndustryEducation.v,coq,198,all_ferpa_implies_consent
02_FORMAL/coq/Industries/IndustryEducation.v,coq,211,all_ferpa_implies_disclosure_tracking
02_FORMAL/coq/Industries/IndustryEducation.v,coq,219,all_ferpa_implies_access
02_FORMAL/coq/Industries/IndustryEducation.v,coq,241,student_age_meets_minimum
02_FORMAL/coq/Industries/IndustryEducation.v,coq,247,student_grade_within_bounds
02_FORMAL/coq/Industries/IndustryEducation.v,coq,264,retention_positive
02_FORMAL/coq/Industries/IndustryEducation.v,coq,270,education_record_long_retention
02_FORMAL/coq/Industries/IndustryEducation.v,coq,285,count_ferpa_bounded
02_FORMAL/coq/Industries/IndustryEducation.v,coq,294,all_ferpa_count_six
02_FORMAL/coq/Industries/IndustryEducation.v,coq,314,under_13_classified_correctly
02_FORMAL/coq/Industries/IndustryEducation.v,coq,321,adult_classified_correctly
02_FORMAL/coq/Industries/IndustryEducation.v,coq,330,directory_info_least_sensitive
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,59,nerc_cip_compliance
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,67,iec_62351_security
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,74,nrc_cyber_security
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,81,ot_security
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,88,substation_security
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,96,high_impact_all_controls
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,105,esp_required
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,152,cip_le_refl
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,157,cip_le_trans
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,173,high_impact_all_11
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,176,cip_requirements_monotone
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,193,full_cip_requires_identification
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,202,full_cip_requires_perimeter
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,218,full_cip_requires_supply_chain
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,237,control_center_critical
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,240,scada_critical
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,243,bes_criticality_positive
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,254,high_impact_fastest_response
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,258,response_time_decreasing
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,274,rto_bounded
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,277,high_impact_short_rto
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,288,assessment_more_frequent_high
02_FORMAL/coq/Industries/IndustryEnergy.v,coq,304,high_medium_same_retention
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,79,pci_dss_compliance
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,86,swift_csp_compliance
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,92,sox_404_compliance
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,98,glba_safeguards
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,104,dora_resilience
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,111,cvv_not_stored
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,120,pan_masking
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,128,strong_crypto_required
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,167,pci_cardholder_data_dec
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,174,pan_is_cardholder
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,178,cvv_is_cardholder
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,182,pin_is_cardholder
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,186,non_card_data_not_pci
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,206,tx_final_not_pending
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,212,tx_pending_not_final
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,218,balance_always_valid
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,230,all_unique_nil
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,233,all_unique_singleton
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,242,audit_log_never_shrinks
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,263,kyc_requires_identity
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,271,kyc_requires_sanctions
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,284,aml_risk_bounded
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,299,compound_zero_periods
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,303,compound_monotone
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,316,conversion_bounded
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,327,fraud_score_max_1000
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,345,wire_requires_dual_auth
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,356,frozen_account_inactive
02_FORMAL/coq/Industries/IndustryFinancial.v,coq,360,unfrozen_account_active
