file,language,line,type,name
02_FORMAL/coq/properties/NonInterference_v2.v,coq,1535,Axiom,val_rel_n_step_up
02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,coq,1149,Axiom,logical_relation_declassify
02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,133,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,134,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,180,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,184,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,284,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,294,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,306,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,307,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,468,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,473,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,478,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,479,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,534,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,540,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,66,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,87,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,109,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,129,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,153,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,176,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,283,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,362,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,414,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,431,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,454,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,469,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,493,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,509,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,526,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,424,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,426,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,465,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,467,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,497,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,498,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,523,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,524,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,542,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,543,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,559,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,560,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,584,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,585,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,589,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,591,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,603,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,604,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,632,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,633,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,664,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,666,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,667,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,686,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,687,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,703,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,704,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,722,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,723,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,739,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,740,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,752,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,753,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,766,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,767,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,791,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,792,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,797,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,799,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,812,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,813,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,832,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,833,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,837,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,839,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,855,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,856,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,868,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,869,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,926,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,1052,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,1071,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,1075,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,1102,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,1116,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/KripkeMutual.v,coq,143,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/KripkeMutual.v,coq,144,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/KripkeMutual.v,coq,167,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/KripkeMutual.v,coq,168,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/KripkeMutual.v,coq,189,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/KripkeMutual.v,coq,190,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/KripkeMutual.v,coq,229,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/KripkeMutual.v,coq,230,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,208,Axiom,T_Loc
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,212,Axiom,T_Assign
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,348,Axiom,val_rel_n_unit
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,353,Axiom,val_rel_n_ref
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,359,Axiom,val_rel_n_ref_same_loc
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,365,Axiom,exp_rel_n_unfold
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,378,Axiom,exp_rel_n_unit
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,382,Axiom,exp_rel_n_base
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,386,Axiom,exp_rel_n_assign
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,392,Axiom,val_rel_n_step_down
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,397,Axiom,exp_rel_n_step_down
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,402,Axiom,store_rel_n_step_down
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,408,Axiom,store_update_preserves_rel
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,431,Axiom,fundamental_theorem
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF_FIXED.v,coq,197,Axiom,T_Loc
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF_FIXED.v,coq,201,Axiom,T_Assign
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF_FIXED.v,coq,530,Axiom,exp_rel_n_unfold
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF_FIXED.v,coq,542,Axiom,exp_rel_n_unit
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF_FIXED.v,coq,545,Axiom,exp_rel_n_base
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF_FIXED.v,coq,548,Axiom,exp_rel_n_assign
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF_FIXED.v,coq,565,Axiom,fundamental_theorem
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,142,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,154,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,163,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,221,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,222,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,402,Axiom,step_deterministic
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,409,Axiom,fundamental_lemma
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,418,Axiom,subst_declassify
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,423,Axiom,lc_declassify
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,429,Axiom,value_is_lc
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,435,Axiom,val_rel_n_monotone
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,442,Axiom,val_rel_n_base
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,449,Axiom,multi_ctx_declassify
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,455,Axiom,ST_Declassify_Ctx
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,461,Axiom,declassify_ctx_preserves_rel
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,115,Axiom,subst_rho_declassify_dist
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,119,Axiom,fundamental_lemma
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,127,Axiom,val_rel_secret_unwrap
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,139,Axiom,exp_rel_n_unfold
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,156,Axiom,declassify_eval
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,162,Axiom,lc_declassify
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,166,Axiom,exp_rel_n_mono
