kind,symbol,file,line,context_decl,detail
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/AlgebraicEffects.v,10,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/CommonCriteriaEAL7.v,22,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/CoreBanking.v,12,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/CovertChannelElimination.v,16,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/CovertChannels.v,10,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/CrossBorderRemittance.v,12,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/DigitalWallet.v,12,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/ESGCompliance.v,12,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/FormalVerification.v,10,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/FutureSecurity.v,22,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/HealthcareIS.v,12,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.Classical_Prop,02_FORMAL/coq/domains/HumanFactorSecurity.v,17,,Require Import Coq.Logic.Classical_Prop.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/MLTTFoundation.v,9,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/Metaprogramming.v,12,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.Classical_Prop,02_FORMAL/coq/domains/PhysicalSecurity.v,11,,Require Import Coq.Logic.Classical_Prop.
ParameterDecl,synthesize,02_FORMAL/coq/domains/PhysicalSecurity.v,52,,Parameter synthesize : RTLModule -> Netlist.
ParameterDecl,synthesis_preserves_semantics,02_FORMAL/coq/domains/PhysicalSecurity.v,55,,"Parameter synthesis_preserves_semantics : forall rtl,"
ParameterUsage,synthesize,02_FORMAL/coq/domains/PhysicalSecurity.v,56,,semantic_equivalent rtl (synthesize rtl).
ParameterDecl,extract_paths,02_FORMAL/coq/domains/PhysicalSecurity.v,68,,Parameter extract_paths : Netlist -> list TimingPath.
ParameterUsage,extract_paths,02_FORMAL/coq/domains/PhysicalSecurity.v,72,,"forall path, In path (extract_paths nl) -> path_delay path <= clk."
ParameterDecl,timing_analysis,02_FORMAL/coq/domains/PhysicalSecurity.v,75,,Parameter timing_analysis : Netlist -> ClockPeriod -> bool.
ParameterDecl,timing_analysis_correct,02_FORMAL/coq/domains/PhysicalSecurity.v,76,,"Parameter timing_analysis_correct : forall nl clk,"
ParameterUsage,timing_analysis,02_FORMAL/coq/domains/PhysicalSecurity.v,77,,timing_analysis nl clk = true -> timing_met nl clk.
ParameterDecl,trojan_scan,02_FORMAL/coq/domains/PhysicalSecurity.v,84,,Parameter trojan_scan : RTLModule -> TrojanStatus.
ParameterDecl,trojan_scan_sound,02_FORMAL/coq/domains/PhysicalSecurity.v,85,,"Parameter trojan_scan_sound : forall rtl,"
