component,status,kind,count
02_DOMAIN_B_EFFECT_SYSTEMS,active,sorry,210
02_DOMAIN_B_EFFECT_SYSTEMS,inactive,admit,180
02_DOMAIN_B_EFFECT_SYSTEMS,inactive,axiom,8
03_DOMAIN_C_INFORMATION_FLOW_CONTROL,active,axiom,4
03_DOMAIN_C_INFORMATION_FLOW_CONTROL,active,sorry,2
03_DOMAIN_C_INFORMATION_FLOW_CONTROL,archived,admit,66
03_DOMAIN_C_INFORMATION_FLOW_CONTROL,inactive,admit,56
03_DOMAIN_C_INFORMATION_FLOW_CONTROL,inactive,axiom,65
19_DOMAIN_S_HARDWARE_CONTRACTS,active,sorry,4
22_DOMAIN_V_TERMINATION_GUARANTEES,active,sorry,2
23_DOMAIN_W_VERIFIED_MEMORY,active,sorry,1
26_DOMAIN_Z_DECLASSIFICATION_POLICY,active,sorry,3
27_DOMAIN_SIGMA_VERIFIED_STORAGE,active,sorry,2
29_DOMAIN_DELTA_VERIFIED_DISTRIBUTION,active,sorry,1
31_DOMAIN_PSI_OPERATIONAL_SECURITY,active,sorry,2
UNMAPPED,archived,admit,35
UNMAPPED,archived,axiom,3
