component,status,kind,count
01_DOMAIN_A_TYPE_THEORY,active,sorry,15
01_DOMAIN_A_TYPE_THEORY,inactive,admit,9
02_DOMAIN_B_EFFECT_SYSTEMS,active,sorry,1
03_DOMAIN_C_INFORMATION_FLOW_CONTROL,active,sorry,5
03_DOMAIN_C_INFORMATION_FLOW_CONTROL,archived,admit,66
03_DOMAIN_C_INFORMATION_FLOW_CONTROL,inactive,admit,56
03_DOMAIN_C_INFORMATION_FLOW_CONTROL,inactive,axiom,65
04_DOMAIN_D_HARDWARE_AND_CAPABILITY_SECURITY,active,sorry,14
05_DOMAIN_E_FORMAL_VERIFICATION,active,sorry,11
06_DOMAIN_F_MEMORY_SAFETY,active,sorry,6
07_DOMAIN_G_CRYPTO_AND_SIDECHANNEL,active,sorry,10
07_DOMAIN_G_CRYPTO_AND_SIDECHANNEL,inactive,admit,8
11_DOMAIN_K_METAPROGRAMMING_AND_EXISTING_SYSTEMS,active,sorry,5
13_DOMAIN_M_TESTING_QA,active,sorry,4
14_DOMAIN_N_TOOLING_IDE,active,sorry,3
16_DOMAIN_P_STANDARD_LIBRARY,active,sorry,4
17_DOMAIN_Q_COMPILER_ARCHITECTURE,active,sorry,1
18_DOMAIN_R_CERTIFIED_COMPILATION,active,sorry,6
19_DOMAIN_S_HARDWARE_CONTRACTS,active,sorry,4
22_DOMAIN_V_TERMINATION_GUARANTEES,active,sorry,2
27_DOMAIN_SIGMA_VERIFIED_STORAGE,active,sorry,6
27_DOMAIN_TOTAL_STACK,active,sorry,4
29_DOMAIN_DELTA_VERIFIED_DISTRIBUTION,active,sorry,1
29_DOMAIN_RIINA_NET,active,sorry,7
30_DOMAIN_OMEGA_NETWORK_DEFENSE,active,sorry,1
30_DOMAIN_RIINA_RUNTIME,active,sorry,1
31_DOMAIN_PSI_OPERATIONAL_SECURITY,active,sorry,9
31_DOMAIN_RIINA_UX,active,sorry,9
32_DOMAIN_CHI_METADATA_PRIVACY,active,sorry,1
32_DOMAIN_RIINA_PHYSICS,active,sorry,1
35_DOMAIN_KAPPA_FULLSTACK,active,sorry,12
35_DOMAIN_RIINA_WALLET,active,sorry,2
36_DOMAIN_LAMBDA_MOBILE_PLATFORM,active,sorry,4
37_DOMAIN_MU_ENTERPRISE_ERP,active,sorry,1
37_DOMAIN_RIINA_HIS,active,sorry,5
38_DOMAIN_NU_VERIFIED_AI_ML,active,sorry,1
39_DOMAIN_PHI_VERIFIED_HARDWARE,active,sorry,1
39_DOMAIN_RIINA_CAPITAL_MARKETS,active,sorry,1
40_DOMAIN_RIINA_MOBILE_OS,active,sorry,19
40_DOMAIN_THETA_RADIATION_HARDENING,active,sorry,2
43_DOMAIN_RHO_VERIFIED_AUTONOMY,active,sorry,2
46_DOMAIN_AA_VERIFIED_IDENTITY,active,sorry,4
49_DOMAIN_AD_TIME_SECURITY,active,sorry,9
52_DOMAIN_AG_KEY_LIFECYCLE,active,sorry,1
53_DOMAIN_AH_VERIFIED_PROTOCOLS,active,sorry,2
54_DOMAIN_AI_VERIFIED_ISOLATION,active,sorry,3
55_DOMAIN_AJ_VERIFIED_COMPLIANCE,active,sorry,23
UNMAPPED,active,sorry,4
UNMAPPED,archived,admit,35
UNMAPPED,archived,axiom,3
UNMAPPED,inactive,admit,163
UNMAPPED,inactive,axiom,8
