component,status,kind,count
01_DOMAIN_A_TYPE_THEORY,active,sorry,12
02_DOMAIN_B_EFFECT_SYSTEMS,active,sorry,1
03_DOMAIN_C_INFORMATION_FLOW_CONTROL,active,axiom,4
03_DOMAIN_C_INFORMATION_FLOW_CONTROL,active,sorry,2
03_DOMAIN_C_INFORMATION_FLOW_CONTROL,archived,admit,66
03_DOMAIN_C_INFORMATION_FLOW_CONTROL,inactive,admit,56
03_DOMAIN_C_INFORMATION_FLOW_CONTROL,inactive,axiom,65
04_DOMAIN_D_HARDWARE_AND_CAPABILITY_SECURITY,active,sorry,2
06_DOMAIN_F_MEMORY_SAFETY,active,sorry,5
08_DOMAIN_H_CONCURRENCY_AND_POLICY,active,sorry,1
10_DOMAIN_J_MODULE_SYSTEMS,active,sorry,3
11_DOMAIN_K_METAPROGRAMMING_AND_EXISTING_SYSTEMS,active,sorry,5
13_DOMAIN_M_TESTING_QA,active,sorry,4
14_DOMAIN_N_TOOLING_IDE,active,sorry,3
15_DOMAIN_O_RUNTIME_EXECUTION,active,sorry,4
16_DOMAIN_P_STANDARD_LIBRARY,active,sorry,3
19_DOMAIN_S_HARDWARE_CONTRACTS,active,sorry,4
22_DOMAIN_V_TERMINATION_GUARANTEES,active,sorry,2
22_DOMAIN_V_TERMINATION_GUARANTEES,inactive,admit,33
23_DOMAIN_W_VERIFIED_MEMORY,active,sorry,1
25_DOMAIN_Y_VERIFIED_STDLIB,active,sorry,1
26_DOMAIN_Z_DECLASSIFICATION_POLICY,active,sorry,3
27_DOMAIN_SIGMA_VERIFIED_STORAGE,active,sorry,2
27_DOMAIN_TOTAL_STACK,active,sorry,8
29_DOMAIN_DELTA_VERIFIED_DISTRIBUTION,active,sorry,3
30_DOMAIN_OMEGA_NETWORK_DEFENSE,active,sorry,5
31_DOMAIN_PSI_OPERATIONAL_SECURITY,active,sorry,2
31_DOMAIN_RIINA_UX,active,sorry,10
32_DOMAIN_CHI_METADATA_PRIVACY,active,sorry,1
32_DOMAIN_RIINA_PHYSICS,active,sorry,1
35_DOMAIN_KAPPA_FULLSTACK,active,sorry,2
35_DOMAIN_RIINA_WALLET,active,sorry,2
36_DOMAIN_LAMBDA_MOBILE_PLATFORM,active,sorry,12
37_DOMAIN_MU_ENTERPRISE_ERP,active,sorry,1
38_DOMAIN_NU_VERIFIED_AI_ML,active,sorry,1
39_DOMAIN_RIINA_CAPITAL_MARKETS,active,sorry,1
40_DOMAIN_THETA_RADIATION_HARDENING,active,sorry,2
42_DOMAIN_XI_SENSOR_FUSION,active,sorry,1
43_DOMAIN_RHO_VERIFIED_AUTONOMY,active,sorry,2
46_DOMAIN_AA_VERIFIED_IDENTITY,active,sorry,3
48_DOMAIN_AC_COVERT_CHANNELS,active,sorry,3
51_DOMAIN_AF_SECURE_UPDATES,active,sorry,1
52_DOMAIN_AG_KEY_LIFECYCLE,active,sorry,4
53_DOMAIN_AH_VERIFIED_PROTOCOLS,active,sorry,3
54_DOMAIN_AI_VERIFIED_ISOLATION,active,sorry,3
UNMAPPED,active,sorry,98
UNMAPPED,archived,admit,35
UNMAPPED,archived,axiom,3
UNMAPPED,inactive,admit,147
UNMAPPED,inactive,axiom,8
