component,status,kind,count
01_DOMAIN_A_TYPE_THEORY,active,sorry,14
01_DOMAIN_A_TYPE_THEORY,inactive,admit,9
02_DOMAIN_B_EFFECT_SYSTEMS,active,sorry,1
03_DOMAIN_C_INFORMATION_FLOW_CONTROL,active,sorry,5
03_DOMAIN_C_INFORMATION_FLOW_CONTROL,archived,admit,10
03_DOMAIN_C_INFORMATION_FLOW_CONTROL,inactive,admit,17
03_DOMAIN_C_INFORMATION_FLOW_CONTROL,inactive,axiom,19
04_DOMAIN_D_HARDWARE_AND_CAPABILITY_SECURITY,active,sorry,6
07_DOMAIN_G_CRYPTO_AND_SIDECHANNEL,active,sorry,2
08_DOMAIN_H_CONCURRENCY_AND_POLICY,active,sorry,1
11_DOMAIN_K_METAPROGRAMMING_AND_EXISTING_SYSTEMS,active,sorry,5
15_DOMAIN_O_RUNTIME_EXECUTION,active,sorry,1
16_DOMAIN_P_STANDARD_LIBRARY,active,sorry,1
22_DOMAIN_V_TERMINATION_GUARANTEES,active,sorry,2
22_DOMAIN_V_TERMINATION_GUARANTEES,inactive,admit,33
23_DOMAIN_W_VERIFIED_MEMORY,active,sorry,1
27_DOMAIN_SIGMA_VERIFIED_STORAGE,active,sorry,2
29_DOMAIN_DELTA_VERIFIED_DISTRIBUTION,active,sorry,1
31_DOMAIN_PSI_OPERATIONAL_SECURITY,active,sorry,2
35_DOMAIN_KAPPA_FULLSTACK,active,sorry,2
38_DOMAIN_NU_VERIFIED_AI_ML,active,sorry,1
UNMAPPED,active,axiom,4
UNMAPPED,active,sorry,180
UNMAPPED,archived,admit,91
UNMAPPED,archived,axiom,3
UNMAPPED,inactive,admit,177
UNMAPPED,inactive,axiom,54
